,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
13161,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,1.005491852760315,392.9196288585663,LRGCN
13162,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,1.079877257347107,128.6964077949524,LRGCN
13163,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.9760659337043762,432.87514543533325,LRGCN
13164,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,0.9956437945365906,158.27968192100525,LRGCN
13165,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.9703614711761476,377.03102946281433,LRGCN
13166,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,0.9877960085868835,209.55911087989807,LRGCN
13167,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.968629777431488,292.4940435886383,LRGCN
13168,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,0.9845824241638184,241.77428364753723,LRGCN
13169,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.993563950061798,300.85175371170044,LRGCN
13170,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,0.9545642733573914,204.5860915184021,LRGCN
13171,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.9671853184700012,376.05074858665466,LRGCN
13172,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,0.9684389233589172,125.7430784702301,LRGCN
13173,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.9634743928909302,443.9193775653839,LRGCN
13174,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,0.9721943140029908,152.78199315071106,LRGCN
13175,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.983237087726593,372.1703777313232,LRGCN
13176,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,1.0228811502456665,204.66996240615845,LRGCN
13177,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.9759973287582396,314.13480830192566,LRGCN
13178,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,0.9839186668395996,234.11589550971985,LRGCN
13179,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.9839468598365784,295.9829845428467,LRGCN
13180,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,0.9943554401397704,228.71685194969177,LRGCN
13181,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.9891790151596068,368.6864745616913,LRGCN
13182,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,0.9696058630943298,145.5033266544342,LRGCN
13183,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.9818159341812134,430.8247346878052,LRGCN
13184,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,1.0045087337493896,151.3220112323761,LRGCN
13185,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.9726502895355223,386.7470440864563,LRGCN
13186,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,1.0037431716918943,199.7620394229889,LRGCN
13187,monte,IT-STGCN,0.8,rand,4,2.0,nearest,50.0,0.9775665998458862,330.682501077652,LRGCN
13188,monte,STGCN,0.8,rand,4,2.0,nearest,50.0,1.0212669372558594,234.72389888763428,LRGCN
