dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1895737648010254,7.077784061431885
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.210045337677002,5.926025867462158
pedalme,STGCN,DCRNN,0.3,rand,4,12,linear,50,1.277872920036316,6.517539739608765
pedalme,STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.3462897539138794,5.829508543014526
pedalme,STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.214056372642517,4.796159982681274
pedalme,STGCN,DCRNN,0.4,rand,4,12,linear,50,1.191696286201477,5.45989203453064
pedalme,STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.2690045833587646,5.55612063407898
pedalme,STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.2121398448944092,6.134818315505981
pedalme,STGCN,DCRNN,0.5,rand,4,12,linear,50,1.2540669441223145,5.493492364883423
pedalme,STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.2552167177200315,5.272840261459351
pedalme,STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.260146975517273,5.458603620529175
pedalme,STGCN,DCRNN,0.6,rand,4,12,linear,50,1.2580103874206543,5.864245891571045
pedalme,STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.6843154430389404,5.403521776199341
pedalme,STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.239063024520874,5.483793020248413
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.204745888710022,7.105652093887329
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.163520336151123,7.859586954116821
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2244185209274292,7.698371171951294
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,linear,50,1.2204028367996216,7.361937761306763
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.2152230739593506,7.601205348968506
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.2452312707901,7.602504968643188
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,linear,50,1.1866687536239624,7.410147190093994
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.2148867845535278,7.192482233047485
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.29362690448761,6.959761619567871
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,linear,50,1.210377812385559,6.9100000858306885
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.2583152055740356,6.96435546875
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.2205359935760498,7.305034399032593
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,linear,50,1.2755577564239502,6.679466485977173
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.207735300064087,7.799633026123047
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.2473808526992798,7.437523365020752
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1726558208465576,5.230858325958252
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1854093074798584,5.0631866455078125
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.2753775119781494,5.804990291595459
pedalme,STGCN,DCRNN,0.3,rand,4,12,linear,50,1.2522809505462646,4.543928146362305
pedalme,STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.2061783075332642,5.120636463165283
pedalme,STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.236498475074768,5.342303037643433
pedalme,STGCN,DCRNN,0.4,rand,4,12,linear,50,1.232901096343994,6.634385108947754
pedalme,STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.2421905994415283,6.258611917495728
pedalme,STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.244382619857788,5.719838380813599
pedalme,STGCN,DCRNN,0.5,rand,4,12,linear,50,1.1977415084838867,5.725436210632324
pedalme,STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.3715296983718872,6.09357762336731
pedalme,STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.251406192779541,5.444517850875855
pedalme,STGCN,DCRNN,0.6,rand,4,12,linear,50,1.2518212795257568,5.186850786209106
pedalme,STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.2422035932540894,5.82672905921936
pedalme,STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.2321046590805054,5.713517427444458
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.202360987663269,7.054655313491821
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.233033537864685,6.756837606430054
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2140116691589355,7.362704992294311
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,linear,50,1.2226663827896118,5.957635641098023
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.1446582078933716,7.811195611953735
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.1743344068527222,7.551476240158081
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,linear,50,1.212597370147705,7.167994499206543
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.2391740083694458,7.300677537918091
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.1807812452316284,6.460775136947632
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,linear,50,1.2130752801895142,6.697608470916748
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.236370086669922,7.39809250831604
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.2761788368225098,7.721318244934082
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,linear,50,1.2987139225006104,7.028488159179688
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.27351975440979,7.013014078140259
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.2093251943588257,6.448779821395874
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.2417582273483276,5.668421506881714
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.212618350982666,5.404910326004028
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1841199398040771,6.025641441345215
pedalme,STGCN,DCRNN,0.3,rand,4,12,linear,50,1.2165579795837402,5.589333295822144
pedalme,STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.2322139739990234,6.419349193572998
pedalme,STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.260324001312256,6.442535638809204
pedalme,STGCN,DCRNN,0.4,rand,4,12,linear,50,1.276313543319702,5.989341974258423
