dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.2265279293060305,62.84991979598999
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.950869083404541,75.66676807403564
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9489944577217102,75.55017757415771
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,linear,50,0.9847376942634584,76.0729444026947
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,cubic,50,0.989497721195221,76.1789960861206
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,linear,50,0.987711489200592,76.43015146255493
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.0051065683364868,76.09098076820374
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0139037370681765,75.9899582862854
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0074785947799685,75.69349598884583
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,linear,50,1.0680744647979736,75.8895275592804
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.131067156791687,75.76578783988953
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,linear,50,1.070454716682434,75.72614645957947
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,cubic,50,2.485830545425415,76.05176782608032
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9603092670440674,62.9377498626709
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.949834406375885,63.066805839538574
chickenpox,STGCN,DCRNN,0.3,rand,4,16,linear,50,1.0139920711517334,62.79172372817993
chickenpox,STGCN,DCRNN,0.3,rand,4,16,cubic,50,1.0498523712158203,63.19632601737976
chickenpox,STGCN,DCRNN,0.4,rand,4,16,linear,50,1.0390875339508057,63.07419466972351
chickenpox,STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.087059497833252,63.084418535232544
chickenpox,STGCN,DCRNN,0.5,rand,4,16,linear,50,1.046791672706604,62.76191830635071
chickenpox,STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0818877220153809,62.52369856834412
chickenpox,STGCN,DCRNN,0.8,rand,4,16,linear,50,1.1262966394424438,62.60027480125427
chickenpox,STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.2334105968475342,62.59797263145447
chickenpox,STGCN,DCRNN,0.9,rand,4,16,linear,50,1.1595994234085083,62.86533737182617
chickenpox,STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.473444581031799,62.75208806991577
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.955184817314148,75.62056851387024
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9476917386054992,75.98729634284973
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,linear,50,0.9758402705192566,75.53366708755493
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,cubic,50,0.9812840223312378,75.87200736999512
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,linear,50,0.9991959929466248,75.80514168739319
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,cubic,50,0.9966761469841005,75.7688500881195
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0056370496749878,75.95597195625305
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0034843683242798,75.72716546058655
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,linear,50,1.047417402267456,75.88033175468445
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.5982693433761597,75.76459217071533
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,linear,50,1.0864611864089966,75.98445916175842
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.3020033836364746,78.60361766815186
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9576513767242432,62.81915998458862
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9565545320510864,62.55856227874756
chickenpox,STGCN,DCRNN,0.3,rand,4,16,linear,50,1.0134193897247314,62.749356269836426
chickenpox,STGCN,DCRNN,0.3,rand,4,16,cubic,50,1.0454248189926147,62.82758164405823
chickenpox,STGCN,DCRNN,0.4,rand,4,16,linear,50,1.0509474277496338,63.02842950820923
chickenpox,STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.0730985403060913,63.070481300354
chickenpox,STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0603710412979126,63.01689100265503
chickenpox,STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0964616537094116,62.51641392707825
chickenpox,STGCN,DCRNN,0.8,rand,4,16,linear,50,1.148624062538147,62.75013184547424
chickenpox,STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.136208415031433,63.04388213157654
chickenpox,STGCN,DCRNN,0.9,rand,4,16,linear,50,1.114784598350525,62.856266260147095
chickenpox,STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.0943893194198608,62.802483320236206
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9576351046562196,75.85364532470703
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9537165760993958,76.2179102897644
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,linear,50,0.985228419303894,75.47375321388245
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,cubic,50,0.991485595703125,76.24532651901245
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,linear,50,1.009010910987854,76.30702686309814
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,cubic,50,0.990561842918396,76.47088313102722
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0127650499343872,76.49606823921204
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0079330205917358,75.96140170097351
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,linear,50,1.0561407804489136,75.48640465736389
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.1978952884674072,75.21801328659058
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,linear,50,1.0726348161697388,75.26747846603394
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.2621233463287354,75.17493653297424
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9452189803123474,62.34350872039795
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9501743912696838,62.217649936676025
chickenpox,STGCN,DCRNN,0.3,rand,4,16,linear,50,1.0304090976715088,62.29304194450378
chickenpox,STGCN,DCRNN,0.3,rand,4,16,cubic,50,1.0526450872421265,62.43973422050476
chickenpox,STGCN,DCRNN,0.4,rand,4,16,linear,50,1.0209406614303589,62.589014768600464
chickenpox,STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.0617029666900637,62.46449160575867
chickenpox,STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0471577644348145,62.58930468559265
chickenpox,STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0833520889282229,62.23793959617615
chickenpox,STGCN,DCRNN,0.8,rand,4,16,linear,50,1.125882267951965,62.34900093078613
chickenpox,STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.2229779958724976,62.46872901916504
chickenpox,STGCN,DCRNN,0.9,rand,4,16,linear,50,1.1539067029953003,62.599878549575806
chickenpox,STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.4015648365020752,62.53311467170715
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9599568247795104,76.08258843421936
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9534112811088562,76.06695628166199
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,linear,50,0.9838597774505616,75.6868839263916
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,cubic,50,0.9861704707145692,94.96116280555724
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,linear,50,0.9977745413780212,90.02258825302124
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,cubic,50,0.9844360947608948,76.1885175704956
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,linear,50,1.010370135307312,75.52771663665771
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0215580463409424,75.4618399143219
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,linear,50,1.0544525384902954,75.73400449752808
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.109263300895691,75.49627661705017
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,linear,50,1.0858169794082642,75.3370451927185
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,cubic,50,3.327386379241944,75.28670334815979
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.967848539352417,62.89508581161499
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9413217902183532,62.82305359840393
chickenpox,STGCN,DCRNN,0.3,rand,4,16,linear,50,1.0387660264968872,62.7926332950592
chickenpox,STGCN,DCRNN,0.3,rand,4,16,cubic,50,1.0528459548950195,62.991678953170776
chickenpox,STGCN,DCRNN,0.4,rand,4,16,linear,50,1.0259966850280762,62.94571185112
chickenpox,STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.0688447952270508,62.99838852882385
chickenpox,STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0496928691864014,63.075204610824585
chickenpox,STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0692235231399536,62.99230694770813
chickenpox,STGCN,DCRNN,0.8,rand,4,16,linear,50,1.0924415588378906,62.896374225616455
chickenpox,STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.3577271699905396,62.81136870384216
chickenpox,STGCN,DCRNN,0.9,rand,4,16,linear,50,1.0774935483932495,62.62367033958435
chickenpox,STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.052442193031311,62.50676965713501
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9519171118736268,75.33882427215576
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9459526538848876,75.14676547050476
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,linear,50,0.9891599416732788,75.14737510681152
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,cubic,50,0.99019455909729,75.28073644638062
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,linear,50,1.0045626163482666,75.20397424697876
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,cubic,50,0.9865136742591858,75.32850122451782
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0125857591629028,75.54465246200562
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.010236144065857,75.99053072929382
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,linear,50,1.064163327217102,75.93837785720825
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.1410928964614868,74.94958734512329
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,linear,50,1.0554052591323853,74.99279856681824
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.4205831289291382,75.37924122810364
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9580585956573486,62.88325357437134
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9555575847625732,62.28558158874512
chickenpox,STGCN,DCRNN,0.3,rand,4,16,linear,50,1.023926019668579,62.32059359550476
chickenpox,STGCN,DCRNN,0.3,rand,4,16,cubic,50,1.0551702976226809,62.54925346374512
chickenpox,STGCN,DCRNN,0.4,rand,4,16,linear,50,1.051754593849182,62.5289626121521
chickenpox,STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.060679912567139,62.70960283279419
chickenpox,STGCN,DCRNN,0.5,rand,4,16,linear,50,1.073652744293213,62.617379903793335
chickenpox,STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0589122772216797,62.406545877456665
chickenpox,STGCN,DCRNN,0.8,rand,4,16,linear,50,1.0914733409881592,62.607539892196655
chickenpox,STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.3281179666519165,62.52993416786194
chickenpox,STGCN,DCRNN,0.9,rand,4,16,linear,50,1.18461012840271,62.53469443321228
chickenpox,STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.1229742765426636,62.40054368972778
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9515609741210938,76.57942628860474
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9561425447463988,83.55658197402954
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,linear,50,0.9868724942207336,75.70712065696716
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,cubic,50,0.984210193157196,76.16592526435852
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,linear,50,0.9808931946754456,75.66272211074829
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,cubic,50,0.99484384059906,76.33335900306702
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0057358741760254,88.15502500534058
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.009510159492493,96.33007216453552
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,linear,50,1.059673547744751,96.35799026489258
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.3376176357269287,96.30026412010191
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,linear,50,1.0528184175491333,96.38797569274902
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,cubic,50,8.163146018981934,90.59411525726318
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9461010694503784,63.17569708824158
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9407901763916016,62.91523098945618
chickenpox,STGCN,DCRNN,0.3,rand,4,16,linear,50,1.0072778463363647,62.74978256225586
