dataset,RecurrentGCN,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2470077276229858,69.38752126693726
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2411257028579712,69.95177125930786
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.2340211868286133,69.42834997177124
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.3350670337677002,69.22273921966553
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.5193214416503906,69.10706901550293
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.244715690612793,75.35997366905212
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.245998740196228,75.29832220077515
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2348990440368652,75.32256770133972
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2667977809906006,75.54126358032227
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.227705478668213,75.98469710350037
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.3307616710662842,75.65176296234131
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2400721311569214,69.31411099433899
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2538772821426392,69.22496032714844
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2489159107208252,69.05963802337646
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.2384189367294312,69.258780002594
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.3769382238388062,69.5983874797821
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,2.048289060592652,69.70554065704346
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2502025365829468,75.91593647003174
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2487744092941284,75.8264479637146
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.238121747970581,75.45701551437378
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2289899587631226,75.32043266296387
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.209739327430725,75.15569615364075
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.25278902053833,75.1518783569336
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2506433725357056,68.91228818893433
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.237937569618225,69.18833804130554
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2452800273895264,69.2705864906311
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.2425159215927124,69.02970767021179
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.278716802597046,69.21156096458435
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.314706563949585,69.45304846763611
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.248034119606018,75.47495031356812
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.250582933425903,75.54342555999756
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2334102392196655,77.80457139015198
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2602375745773315,75.01454782485962
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.309006929397583,75.23404598236084
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.2196621894836426,75.22519588470459
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2498269081115725,69.60874724388123
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2423814535140991,70.18288111686707
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.256964087486267,69.42582082748413
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.235573410987854,69.66703391075134
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.5729403495788574,69.60894322395325
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,2.0080745220184326,69.5808413028717
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.248908519744873,75.83368945121765
