,Unnamed: 0,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
231,231,five_nodes,STGCN,0.0,,6,8,,100,1.158044934272766,77.77372145652771
232,232,five_nodes,STGCN,0.0,,6,12,,100,1.164481282234192,73.7500946521759
233,233,five_nodes,STGCN,0.0,,6,12,,100,1.3511854410171509,74.12318396568298
234,234,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1544309854507446,76.38351917266846
235,235,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1223130226135254,76.64675116539001
236,236,five_nodes,IT-STGCN,0.0,,2,8,,100,1.1941475868225098,78.60681486129761
237,237,five_nodes,IT-STGCN,0.0,,2,8,,100,1.0953037738800049,78.41638135910034
238,238,five_nodes,IT-STGCN,0.0,,2,12,,100,1.1809602975845337,79.33844566345215
239,239,five_nodes,IT-STGCN,0.0,,2,12,,100,1.169283151626587,79.68702101707458
240,240,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1924093961715698,75.02123022079468
241,241,five_nodes,IT-STGCN,0.0,,4,4,,100,1.188117265701294,75.96808934211731
242,242,five_nodes,IT-STGCN,0.0,,4,8,,100,1.1408393383026123,77.53410530090332
243,243,five_nodes,IT-STGCN,0.0,,4,8,,100,1.1788586378097534,78.977548122406
244,244,five_nodes,IT-STGCN,0.0,,4,12,,100,1.2308483123779297,78.79500365257263
245,245,five_nodes,IT-STGCN,0.0,,4,12,,100,1.228646755218506,78.79622483253479
246,246,five_nodes,IT-STGCN,0.0,,6,4,,100,1.165245532989502,75.6001923084259
247,247,five_nodes,IT-STGCN,0.0,,6,4,,100,1.1590654850006104,75.28413438796997
248,248,five_nodes,IT-STGCN,0.0,,6,8,,100,1.256820559501648,77.43143653869629
249,249,five_nodes,IT-STGCN,0.0,,6,8,,100,1.2369015216827393,77.43919897079468
250,250,five_nodes,IT-STGCN,0.0,,6,12,,100,1.2040308713912964,78.38622665405273
251,251,five_nodes,IT-STGCN,0.0,,6,12,,100,1.2389707565307615,78.22079610824585
252,252,five_nodes,STGCN,0.0,,2,4,,100,1.1154942512512207,72.79389595985413
253,253,five_nodes,STGCN,0.0,,2,4,,100,1.1394954919815063,72.84825921058655
254,254,five_nodes,STGCN,0.0,,2,8,,100,1.0970932245254517,74.78817343711853
255,255,five_nodes,STGCN,0.0,,2,8,,100,1.1213008165359497,74.69508099555969
256,256,five_nodes,STGCN,0.0,,2,12,,100,1.1749554872512815,75.39531803131104
257,257,five_nodes,STGCN,0.0,,2,12,,100,1.1180195808410645,75.91575336456299
258,258,five_nodes,STGCN,0.0,,4,4,,100,1.0626682043075562,71.97792649269104
259,259,five_nodes,STGCN,0.0,,4,4,,100,1.1798765659332275,71.60768389701843
260,260,five_nodes,STGCN,0.0,,4,8,,100,1.1987422704696655,73.34552669525146
261,261,five_nodes,STGCN,0.0,,4,8,,100,1.0833837985992432,73.474858045578
262,262,five_nodes,STGCN,0.0,,4,12,,100,1.172168850898743,74.23792505264282
263,263,five_nodes,STGCN,0.0,,4,12,,100,1.186444878578186,74.60287141799927
264,264,five_nodes,STGCN,0.0,,6,4,,100,1.1933854818344116,70.96654200553894
