dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,mse
fivenodes,GNAR,GConvGRU,0.125,block,2,,cubic,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.125,block,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.125,block,2,,cubic,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.125,block,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.125,block,2,,cubic,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.125,block,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.3,block,2,,cubic,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.3,block,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.3,block,2,,cubic,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.3,block,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.3,block,2,,cubic,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.3,block,2,,linear,,1.4068299531936646
chickenpox,GNAR,GConvGRU,0.3,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.4,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,linear,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.5,rand,4,,cubic,,1.4274942874908447
chickenpox,GNAR,GConvGRU,0.3,rand,4,,linear,,1.4274942874908447
