dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,lr,mse,calculation_time
pedalme,STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.6798245906829834,5.47174859046936
pedalme,STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.5432387590408325,6.592606782913208
pedalme,STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.2906049489974976,21.580175161361694
pedalme,STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.363789439201355,3.962120532989502
pedalme,STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.2616370916366577,1.8942594528198242
pedalme,STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.54819917678833,4.042133808135986
pedalme,STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.4613251686096191,5.2587785720825195
pedalme,STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.4298725128173828,2.785327434539795
pedalme,IT-STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.6946892738342285,9.536685943603516
pedalme,IT-STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.4822953939437866,5.8103554248809814
pedalme,IT-STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.408071756362915,6.086364269256592
pedalme,IT-STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.2520471811294556,8.385325908660889
pedalme,IT-STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.2701849937438965,4.122336149215698
pedalme,IT-STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.621790885925293,2.3646938800811768
pedalme,IT-STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.7120827436447144,4.013631105422974
pedalme,IT-STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.4881157875061035,5.422383069992065
pedalme,IT-STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.3892079591751099,3.264698028564453
pedalme,STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.4751818180084229,7.108936548233032
pedalme,STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.487865924835205,4.40893030166626
pedalme,STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.4976143836975098,5.154125452041626
pedalme,STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.3974664211273193,5.867334842681885
pedalme,STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.2614177465438843,3.587924003601074
pedalme,STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.4576172828674316,1.6444952487945557
pedalme,STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.5361839532852173,3.2758500576019287
pedalme,STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.4785805940628052,4.501393556594849
pedalme,STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.4779233932495117,2.339374542236328
pedalme,IT-STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.3748880624771118,8.037841558456421
pedalme,IT-STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.662778615951538,5.598526477813721
pedalme,IT-STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.3959881067276,6.812691688537598
pedalme,IT-STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.3859994411468506,9.419811010360718
pedalme,IT-STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.222626805305481,3.6140122413635254
pedalme,IT-STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.31988525390625,1.8046939373016357
pedalme,IT-STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.688989520072937,4.541818141937256
pedalme,IT-STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.4827392101287842,7.337846755981445
pedalme,IT-STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.2550958395004272,4.114487409591675
pedalme,STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.5958051681518555,8.940396547317505
pedalme,STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.4527218341827393,5.598052501678467
pedalme,STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.6047136783599854,6.623837947845459
pedalme,STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.2194697856903076,18.644700527191162
pedalme,STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.2939807176589966,3.998483180999756
pedalme,STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.4111967086791992,1.9798827171325684
pedalme,STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.831865906715393,4.162550687789917
pedalme,STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.66518235206604,6.133889198303223
pedalme,STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.2190865278244019,2.988016366958618
pedalme,IT-STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.5342282056808472,10.692555665969849
pedalme,IT-STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.5143258571624756,6.945764064788818
pedalme,IT-STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.6467911005020142,7.211202383041382
pedalme,IT-STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.41184663772583,18.767266511917114
pedalme,IT-STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.2584173679351807,5.437008619308472
pedalme,IT-STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.2789838314056396,3.2256155014038086
pedalme,IT-STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.387021780014038,5.519143581390381
pedalme,IT-STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.502022624015808,7.25186562538147
pedalme,IT-STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.3896677494049072,3.9344894886016846
pedalme,STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.7262221574783325,8.02772831916809
pedalme,STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.4198626279830933,4.92859148979187
pedalme,STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.5671305656433105,6.382003307342529
pedalme,STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.278149127960205,13.864896297454834
pedalme,STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.3305768966674805,3.765902280807495
pedalme,STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.4909002780914307,1.849179983139038
pedalme,STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.6918346881866455,4.044154405593872
pedalme,STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.491551399230957,5.822915554046631
pedalme,STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.3426685333251953,2.717184066772461
pedalme,IT-STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.5576564073562622,8.394994497299194
pedalme,IT-STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.4003740549087524,7.161739826202393
pedalme,IT-STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.5776102542877197,7.4177093505859375
pedalme,IT-STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.334063172340393,43.25823140144348
pedalme,IT-STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.2551236152648926,5.589644432067871
